sort,book,chapter,verse,source,target
255856651,1PE,1,11,inquiring into what person or time the Spirit of Christ in them was indicating when he testified beforehand about the sufferings of Christ and the glories that would follow.,"Bhahoga nahanya kahi, na kanya kata okatangwa na mwoyo alikukwela wa Yesu Kristu eyabhaile ali omunda yabho eyaizile wa mbele kubishurula obhusasi obhulamubhaho. Nomushuruhana ogulabhaho kihlamalakubhaho echo."
255856652,1PE,1,12,"It was revealed to them that they were not serving themselves, but you, when they spoke of the things that have now been told to you by those who preached the gospel to you by the Holy Spirit sent from heaven—things into which angels long to look.","Bhakasurulirwa bhati tiahabwabho bhonka sana bhone abhala mwesiga, akauya aka nibhilangilirwa ahalimwe na bhalinya abhabheile nibabhi langilira,ebyomwoyo alikuera eyatumirwe kuruga omuoguhi, Ebhintu Ebyoabhamalaika nibagonza kubhilebheleza."
255856653,1PE,1,13,So gird up the loins of your mind. Be sober. Put your hope fully on the grace that will be brought to you when Jesus Christ is revealed.,"Aharwecho mukome ebhibhuru byemwesogo gwanyu mukubha nokwetoya, omulinda okuhilira kwomugisha eimuikuleterwa omukuhimbuka kwa Yesu Kristu."
255856654,1PE,1,14,"As obedient children, do not conform yourselves to the desires that you followed when you were ignorant.","Nkaabhana bhamakune mutesanisa nokwegomba kwenu abanya kobhufera, bwanyu bwakale."
255856655,1PE,1,15,"But as the one who called you is holy, you too be holy in your whole behavior.",Chonka nka wenen eyabhesile okwamwela naimwe mubhe abhalikwera omubhikorwa byanyu byona.
255856656,1PE,1,16,"For it is written, ""Be holy, because I am holy.""",Aharwokubha chikahandikwa chiti! mlabha abhalikwera ahakubha lnyi ndimwera.
255856657,1PE,1,17,"So if you call ""Father"" the one who judges impartially and according to each person's work, conduct yourselves in fear during your time here as foreigners.","Kandi kumulabha nimumweta tata wenene alikulamula buli muntu atalikulebela, kuruga omubhikorwa bwabwe, Ngande omukutina omukanya aka mchali omunsi."
255856658,1PE,1,18,"You know that it was not with perishable silver or gold that you have been redeemed from the futile behavior that you inherited from your ancestors,","Naimwe mumanye muti mkalokorwa ta ahabhintu ebyokufa, amahera nanga edhahabu mbhase kunya omubhibhi ebhitalibhilungi ebhimwa heibwe nabhaisengulu bhanyu."
255856659,1PE,1,19,"but by the precious blood of Christ, like that of a lamb without blemish or spot.",Sana omubwamb bwousera nke eyomwana gwentama ogotaine kamogo yani Kristu.
255856660,1PE,1,20,"Christ was foreknown before the foundation of the world, but now he has been revealed to you in these last times.",Nawenene amanyikile kwo kuruga kale hatakabhaleho ensi chonka akelekwa enzindo ya kale akabweitu.
255856661,1PE,1,21,"Through him you believe in God, who raised him from the dead and gave him glory, so that your faith and hope are in God.",Omuli wenene mubheile abhesiga bha Mungu eyamuhimbwike omu bhafu amuha okwera mpaka omwesigo weitu nokulindilila kweitu kubhe owa Mungu.
255856662,1PE,1,22,You made your souls pure by obedience to the truth. This was for the purpose of sincere brotherly love; so love one another earnestly from a pure heart. ,"Kumlamala kweyeza emweyo yanyu nokukunira kuwa amazima, nokwijuka kwenda na kwanyu kuteine orwango, aho mwekaze kwendama kwamazima."
255856663,1PE,1,23,"You have been born again, not from perishable seed, but from imperishable seed, through the living and remaining word of God.","Kumlabha muzailwe omulundi kwa kabhili limuli embibho ezilikufa sana embibho ezitarikufa, omu chigambo cha Mungu echine obhuzima obhitaliwaho ila neila."
255856664,1PE,1,24,"For ""All flesh is like grass, and all its glory is like the wild flower of the grass. The grass dries up, and the flower falls off,","Aha kubha"" Omubhili gwona ninkibhinyansi nebhilungi bye bhyona ni nka amaua ge chinyansi. Ebhinyansi byona namanage goma."
255856665,1PE,1,25,"but the word of the Lord remains forever."" This word is the gospel that was preached to you.",Chonka echogambo cha mkama chikalaho ebilo byona ila neila nechigambo echo ni chilungi echangirwe owanyu.
255860737,1PE,2,1,"Therefore, put aside all evil, all deceit, hypocrisy, envy, and all slander.","Aharwecho gate aharubhaju amafu gona, ebhisubha ihagiko, lbhubha  nebhijumi."
255860738,1PE,2,2,"As newborn infants, long for pure spiritual milk, so that through it you may grow in salvation,","Nkaabhana bhato, mwegombe amateagarungi gomwoyo, ahongu mubhase kukula omuda yobhulokore."
255860739,1PE,2,3,if you have tasted that the Lord is kind.,Kumlabha mulolizeho okwo Mukama nimurungi.
255860740,1PE,2,4,"Come to him who is a living stone that has been rejected by people, but that has been chosen by God as valuable to him.",Mwije owawenene aliibare lilikulora lyonee elyangilwe nabhanlu chonka elyo lilonzilwe na Mungu kandi nilisela ahaliwenene.
255860741,1PE,2,5,You also are like living stones that are being built up to be a spiritual house in order to be a holy priesthood that offers the spiritual sacrifices acceptable to God through Jesus Christ.,"Naimwe kandi musana amabhale agalikulora agombekile ahaigulu kubha enju zomwoyo, ngu mubhe omweza alikwera alaihao ezabi hu zemieyo ezilikwikilizibwa na Mungu kulabhila ahali Yesu kristo."
255860742,1PE,2,6,"Scripture contains this: ""See, I am laying in Zion a cornerstone, chosen and valuable. Whoever believes in him will not be ashamed.""","Echihandiko chigamba chiti, ""Lebha nataho omuli Sayuni lbhale lyomulubhaje lihahango, elyalonzilwe kandi nilisela. Wenawena alalyesiga omuliwenene taribhona nsoni."" Ahalyecho, amakun"
255860743,1PE,2,7,"The value, then, is to you who believe. But to those who do not believe, ""The stone that was rejected by the builders, this has become the head of the corner,""","Ahalyecho, amakune naganyo omulimwe abhalikwesiga chonka, ""Ibhare elyangilwe nabhombeki, eli libheile ibhale likuru lyomulubhaju""-"
255860744,1PE,2,8,"and ""A stone of stumbling and a rock that makes them fall."" They stumble because they disobey the word—which is what they were appointed to do.","kandi, ""lbhale lyohusitara, norwazi lwokusitaza."" Bonenebhasitara, abhalikwanga echigambo, ahalichi lunya  echibhabhuite bhalonzilwe nacho."
255860745,1PE,2,9,"But you are a chosen people, a royal priesthood, a holy nation, a people for God's possession, so that you would announce the wonderful actions of the one who called you out from darkness into his marvelous light.","Chonka imwe noluganda olwahigirwe, orwebhembezi lwobhukama, ensi elikwera, abhantu bholindaMungu ngwaho mubhase kulangilira ebhikorwa nebhilimisa byolinya eyabhesile kuluga omumwilima, kwija ahamusanagwe kwechiyinisa."
255860746,1PE,2,10,"Once you were not a people, but now you are the people of God. You did not receive mercy, but now you have received mercy.","Imwe obwabele mukabhamtalibantu, chonka hati imwe nabhantu bha Mungu. Imwe emigisa."
255860747,1PE,2,11,"Beloved, I exhort you as foreigners and exiles to abstain from fleshly desires, which fight against your soul.","Abhagozibwa nabheta   nkabhagenyi na bhakubhunga bhunga kuyeima kuruga omubhitekelezo bhibhi byamafu, exilikurwana ebhita nemyoyo yanyu."
255860748,1PE,2,12,"Your conduct among the Gentiles should be honorable, so that when they slander you as evildoers, they may be eyewitnesses of your good deeds and give glory to God on the day when he appears.",Msaine kujira engeso zilungi omumahanga ahongu kibhalabhagamba ngu mkozile echintu chibhi bhalaledha emilimo yanyu milungi nokumsima Mungu ahachiro chokukwijakwe.
255860749,1PE,2,13,Be subject to every human authority for the Lord's sake. Obey both the king as supreme,"Kumila bhuli bhutwazi bwabhantu ahabwamukama, kichilabha nkomukama muru."
255860750,1PE,2,14,"and also the governors, who are sent for the punishment of evildoers and to praise those who do good.",Kichilabha abhatwazi abhalagilwe kubhayesa enkozi zibhibhi nokubhasima bhalinya abhakukola ebhilungi.
255860751,1PE,2,15,"For this is God's will, that in doing good you silence the ignorant talk of foolish people.","Aharwokubha nengozi za Mungu ngu kukora ebhirungi, nimwemesilisa efomolo yobhufera yabhantu abhapumbafu."
255860752,1PE,2,16,"As free people, do not use your freedom as a covering for wickedness, but be like servants of God.","Nkabhantu, bhekwetwara, mtatwara orwetwale lwanyu nkeechisangizo chamafu sana mubhe nkentumwa za Mungu."
255860753,1PE,2,17,Honor all people. Love the brotherhood. Fear God. Honor the king.,"Kunila abhantu bhona, oyende bheneso. Otine Mungu. Omukunile Omukama."
255860754,1PE,2,18,"Servants, be subject to your masters with all respect. Be subject not only to the good and gentle masters, but also to the malicious ones.","Bhairu, kumra abhakama bhanyu namahune gona tikukumila abhalibharungi nabhakwesiza chonka kumla nabhali bhabhi."
255860755,1PE,2,19,"For it is praiseworthy if, because he is conscious of God, a person endures sorrows while suffering unjustly.",Ahakkubha nechitinisa ahaliwenawena alayekaza omubhusasi kalabha nasasa ataliho amazima ahakumfera Mungu.
255860756,1PE,2,20,"For how much credit is there if you sin and then endure while being afflicted? But if you have done good and then you suffer while being punished, this is worthy of praise from God.","Nobhona mperwaki eliho kumlagendelera kukora amafu kumlamala kugendelele kuterwa? chonka mulabha mkozile ebhirungi aho msase nokulamulwa, echi nemperwa nungi owa Mungu."
255860757,1PE,2,21,"For it is to this that you were called, because Christ also suffered for you. He left an example for you to follow in his steps.","Aha lyechi mketwa, ahalwokubha Kristo nawe akasasa ahabweitu, akatusigira echibhoneso ahabweitu tuhondele ebhilibhatobye."
255860758,1PE,2,22,"""He committed no sin, neither was any deceit found in his mouth.""",Wenene talakozile mafu kandi talabhonekile ebhisubha byonabyona omukanwake.
255860759,1PE,2,23,"When he was insulted, he gave no insult in return. When he suffered, he did not threaten back, but he gave himself over to the one who judges justly.","Akanya wenene najumwa, tarabhasubhize ebhijumi, kiyasadile, talabhakangile sana akayeta owa wenene alamula amazima."
255860760,1PE,2,24,He himself carried our sins in his body on the tree so that we would die to sin and live for righteousness. By his bruises you have been healed.,Wenene wenka akaheka amafugeitu ahamubhiligwe ahamti ngwaho tutajila rubhaju kandi omumafu kandi tutule ahamazima. ahakutelwake imwe mkachira.
255860761,1PE,2,25,"All of you had been straying like lost sheep, but now you have returned to the shepherd and overseer of your souls.",Mwena abhabheile nimuhugahuga nkentama ebhuzile bwenu mwagaruka owomulisa nomukumi wemiitima yanyu.
255864833,1PE,3,1,"In the same way, you who are wives should submit to your own husbands. Do this so that even if some men are disobedient to the word, they may be won without a word, through their wives' behavior,","Homumuhanda hoghu hirwe bhakazi nimwetagwa kuyeyaha homu bhabasenja bhanyu himwe, hechi, nobwo harabha homu libhonene taine yehikirize chighambo, kurabha homuheso za bhakazi bhabo nibhabasa kunyurulwa hengesozabha kazi bhabo hatari chighambo."
255864834,1PE,3,2,"having been eyewitnesses of your respectful, pure behavior.",Horwe songhabonehe nibhaija kubha bhabweire hengeso za nyu hezirungi hamo na makune.
255864835,1PE,3,3,"Do not let your adornment be outward—the braiding of hair and putting on of gold ornaments, or the clothing you wear.","Hechi chikorwe chitabha murenjogwe heru kusukha hesokhe, hereniye zhahabhu hangha hebhijwaro bya maringho."
255864836,1PE,3,4,"Instead, let your adornment be the inner person of the heart with the lasting beauty of a gentle and quiet spirit, which is precious before God.","Chonka bhikore homu bhuntu bwo munda yo mwoyo, no kwikara homburungi no kwetwara no kwe kwe kunira kwo mwoyo, hoghunigwo gwine hamani homumaisoghoa Mungu."
255864837,1PE,3,5,"For this is how holy women long ago who hoped in God adorned themselves, by submitting to their husbands.",Horwo kubha habha kazi habhari kwela bhakerebha rembha bhoneneho mumuhanda hoghu. Bhakabha bhainekho mwsigho howa Mungu mara bhakabhani bhakunila habhasaija bhabo.
255864838,1PE,3,6,In this way Sarah obeyed Abraham and called him her lord. You are now her children if you do what is good and if you are not afraid of trouble.,"Homumuhanda honghu sara hakamikunira Ibrahimu no kumwetha wenene ""Bwana"" wawenene. Mbwenu himwe muli habhana bhawenene kamulakora hebhirungi kamurabha mtakutina kukora bhibhi."
255864839,1PE,3,7,"In the same way, you husbands should live with your wives according to understanding, as with a weaker container, a woman. You should give them honor as fellow heirs of the grace of life. Do this so that your prayers will not be hindered.",Homumuaneta hogwo himwe bhaseijha nimwetagwa kutura na bhakazi bhanyu mubhenimu manya bwanene na bhabhe zi habhataghumile mubhe nimubhanya kokwobharihoru simono kwo bhurola mukore mutyo hesara zanyu zitaritatangwa.
255864840,1PE,3,8,"Finally, all of you, be like-minded, compassionate, loving as brothers, tenderhearted, and humble.","Mara, himwe, mwena mughire ebhitekerezo bhimo, nokusasilana, nokukugho nzanghana kabharumuna, mtekerelena mwetware."
255864841,1PE,3,9,"Do not pay back evil for evil or insult for insult. On the contrary, continue to bless, because for this you were called, that you might inherit a blessing.","Mtasasura hebhinebhibhi hangha hebhijumi ne hebhijumi sana mughenderele kushabhirana komughisahoru kubha honghu muketwa, kambasa kusika homughisa."
255864842,1PE,3,10,"""The one who wants to love life and see good days should stop his tongue from evil and his lips from speaking deceit.",Wenawena haryenda kurebha hemikarile yebhiro hebhirungimpaka hatange orulimirwe kughamba homumunwa gwe kughamba hebyo bhughobya.
255864843,1PE,3,11,Let him turn away from what is bad and do what is good. Let him seek peace and pursue it.,Mara hainduke harekere kukora hebhibi habhanze kukora hebhirungi. ahinge hemirembe no kujihondera.
255864844,1PE,3,12,"The eyes of the Lord see the righteous, and his ears hear their prayers. But the face of the Lord is against those who do evil.""",Amahiso gha Bwana nigharebha holiyahaine hamizima na mathu ghawenene nigha ulira hokusabha kwabho chonka hobhuso bwakukora hebhibi.
255864845,1PE,3,13,Who is the one who will harm you if you are eager to do what is good?,Mbwenu nohiharibha kora kubhi himwe khamurabha nimwetegha hebhirungi?
255864846,1PE,3,14,"But even if you suffer because of righteousness, you are blessed. Do not fear their threats. Do not be troubled.",Chonka kamura saswa ha mazima holibha hoine hamabherwa. Mtaritina bhiliha bhorene hebyobharikutina. Mutaryemereza mutima.
255864847,1PE,3,15,"Instead, set apart the Lord Christ in your hearts as holy. Always be ready to give an account to anyone who asks about the hope you have—",Sana mmuteke Kristo Bwana haryi hemwoyo yanu herikwera. Bhulikanya mubhe nimuorola bhulimuntu hakubhabhaza himwe nikubhakimwine mwesigho kurugha wa Mungu. Mukoremutyo nobhuchurezi na makune.
255864848,1PE,3,16,"however, with meekness and respect. Have a good conscience so that, in whatever you are spoken of as evil, the people who slander your good life in Christ may be put to shame.","Mughirehesabhi nungi habhantu habhakujuma, hemitwavize yanyu mirungi hari Kristo bhabasekukwatwa hesoni horukubha nibhaghamba kumpindure halimwe ngu mkabha nimukora hebhibi."
255864849,1PE,3,17,"It is better, if it should be God's will, that you suffer for doing good than for doing evil.","Nibhirungi muno, Mingi na yekomba kulurila nimubhonesiribwa hobwo kukora hebhirungi kusagha kukora hebibhi."
255864850,1PE,3,18,"Christ also suffered once for sins. He who is righteous suffered for us, who were unrighteous, so that he would bring us to God. He was put to death in the flesh, but he was made alive by the Spirit.","Kristo hakabhonesiribwa vamo rweha mafhu ghaitu. Nawewene no muntu howa mazima hakasaswa harwe songa zheitu, hitwe habhabeire tutari bha mazima, habhase kuturetha hitwe habha beire tutaribha mazima haturete hari Mungu. Hakafahorwo mbili, chonka hakakorwa kubha no bhuvola hamwoyo."
255864851,1PE,3,19,"By the Spirit, he went and preached to the spirits who are now in prison.",Homuhanda gwomwoyo hakaghenda kuzingirila hemwoyo heriha heri homukazuhekomerene.
255864852,1PE,3,20,"They were disobedient when the patience of God was waiting in the days of Noah, in the days of the building of an ark, and God saved a few people—eight souls—by means of the water.","Tizirahurile homukanya kokwe kaza ha Mungu habwo yabheire harizire hakanyaka Nuhu, homukanya kokwombekahemeheri, Mungu hakarokora habhantubhake hemwoyo munana kurugha homumuizi."
255864853,1PE,3,21,"This is a symbol of the baptism that saves you now—not as a washing away of dirt from the body, but as the appeal of a good conscience to God—through the resurrection of Jesus Christ.","Haka na kamanyiso ko kobhatizibwa hoghukubaro kora himwe hati, tikwo kwoja bhuchufu kurugha hamubhiri chonka okusabha kwo, mutima ghurungi ha kwa Mungu, kurabha hakuhibhuka kwa yesu Kristo."
255864854,1PE,3,22,"Christ is at the right hand of God. He went into heaven. Angels, authorities, and powers must submit to him.","Wenene  hari hamukono gwa ruhanga Mungu. akaghenda homwighuru, abha maraika, nobhusobhora na mani razima bhimuhurile wenene."
255868929,1PE,4,1,"Therefore, because Christ suffered in the flesh, arm yourselves with the same intention. For whoever has suffered in the flesh has ceased from sin.","Aho, alukubha akateseka alwo omubhili, mwejweke endwaniso ezechimanyiso zonenezonene. Olirya eyatesi zwe omubhili aligilweo ebhibhi."
255868930,1PE,4,2,"As a result, such a person, for the rest of his time in the flesh, no longer lives for men's desires, but for God's will.","Omuntu ogu takwikara tena omubwensi byo ombhili, sana omukuenda kwa Mungu, omaisha ge agasigaile."
255868931,1PE,4,3,"For the time that has passed is enough for you to do the desire of the Gentiles, living in sensuality, lusts, drunkenness, drunken celebrations, having wild parties, and committing lawless acts of idolatry.","Okubha akanya akalabhileo nkatosha kukola ebhintu ebyo maanga agibhikwenda kukola, omukwetumila, ebhitekelezo ebhibhio okusinda, omuulu, amagenyiga abhatamanya Mungu na okesabha kwo kulebha echonga ngano."
255868932,1PE,4,4,"They think it is strange that you do not join with them in these floods of reckless behavior, so they speak evil about you.","Mbatekeleza neechitangalo kukola ebhintu ebhibhi amo nabyo, aho mbagamba obhufu aigulu yanyu."
255868933,1PE,4,5,They will give an account to the one who is ready to judge the living and the dead.,Mbajakubhala embalwa aliolirya alitayari omukula mula abhalalebhe na abhafile.
255868934,1PE,4,6,"For this purpose the gospel was preached also to the dead, so that, although they have been judged in the flesh as humans, they may live in the spirit the way God does.","Omulwecho echigambo cha Mukama chikagambwa omuli abho abhafile, ngu nolubhala bha bhalamusi le omibhili yabho nka abhantu, ili bhabhase kwikala nka Mukama omwoyo."
255868935,1PE,4,7,"The end of all things is coming near. Therefore be of sound mind, and be sober in your thinking for the sake of prayers.","Enzindo ye ebhintu byona neija. Aho, mubhe no obhumanji obhulige, mubhe no obwensi obhulungi omulaisabha kwanyu."
255868936,1PE,4,8,"Above all things, have fervent love for one another, for love covers a multitude of sins.","Mutakakozi le chena, mujile obwila omukwenda ngara na bhuli omo, kubha omulawendangana tokuigu kukomolola ebhibhi byo ondijo."
255868937,1PE,4,9,Be hospitable to one another without complaining.,Mwoleke okwetwale ali bhuli omo muteine kamongo.
255868938,1PE,4,10,"As each one of you has received a gift, use it to serve one another as good stewards of God's grace in its various forms.","Nka bhuliomo Mungu okuyamuele omulimo gwo kukol, obhikole omuleuolelangana, na bhakulu bhanyu amilimo mingi Mungu akabhibha bhusa."
255868939,1PE,4,11,"If anyone speaks, let it be with God's words. If anyone serves, let it be from the strength that God supplies. Do these things so that in all ways God would be glorified through Jesus Christ. May there be to Jesus Christ glory and dominion forever and ever. Amen.","Omuntu kalagamba, bhibhe ebhigambo bhilungi bya Mungu, no omuntu kala fumika, bhibhe nko obhubhase obwaelwe na Mungu, ili alibhulichimo Mungu asimwe kulabhila ali Yesu Kristo. Obwela na obhubhase bhine wenene neila neila. Amina."
255868940,1PE,4,12,"Beloved, do not regard as strange the testing in the fire that has come upon you, as if something strange were happening to you.","Bhanywaryibhange , mutabhala ijalibu elyuja kubha jalibu nka echintu chipya, nolwaalabhaalo chipya echibheile nchikolwa omwaryu."
255868941,1PE,4,13,"Instead, however much you experience the sufferings of Christ, rejoice, so that you may also rejoice and be glad when his glory is revealed.","Chonka okumulkugendelela bubhona muno okuteswa kwa Yesu, msemetebwe, okusemelelwa no obushangilia omulawesulula kwo obwela bwe."
255868942,1PE,4,14,"If you are insulted for Christ's name, you are blessed, because the Spirit of glory and of God rests on you.","Kumula jumwa olwe lbhala lya Kristo, mmubhelwa, olwensonga ya omwoyo gwo obwela no omwoyo gwa Mungu ngwikala aigulu yanyu."
255868943,1PE,4,15,"But let none of you suffer as a murderer, a thief, an evildoer, or a meddler.","Chonka atabhaho wena wena owokuteswa nko omwisi, omusuma omukola bhibhi, akukola ebintu ebya abhandi."
255868944,1PE,4,16,"Yet if anyone suffers as a Christian, let him not be ashamed; instead, let him glorify God with that name.",Chonka kalabha aliho akuterwa nko Omukiristo atajila nsoni saana asime Mungu omwibhala elyo.
255868945,1PE,4,17,"For it is time for judgment to begin with the household of God. If it begins with us, what will be the outcome for those who disobey God's gospel?",Olwobubha ahakwija kugomba akokulamulwa kubhandiza omuju ya Mungu. Na kalabhandiza omweitu mbijakubhaebhita omulibhalinya abhatakwikiliza echigambo cha Mungu.
255868946,1PE,4,18,"And ""If it is difficult for the righteous to be saved, what will become of the ungodly and the sinner?""","Nko ""omugambe mazima  nalokorwa kukebhule ombigumile mbijakubha bhita omuntu ataine mazima no muntu we ebhibhi?"
255868947,1PE,4,19,"Therefore, let those who suffer because of God's will commit their souls to the faithful Creator in well-doing.",Omulibhona obhokusaswa kulabhila omubwensi bwa Mungu bhakwase emyoyo alikatonda owoobhesiga omukukola ebhilungi.
255873025,1PE,5,1,"I am exhorting the elders among you—I, who am a fellow elder and a witness of the sufferings of Christ, and am also one who will share in the glory that will be revealed:","Nimbatagiliza abhagurusi abhali omulimwe, nyawendi omugurusi mtai wabho nomujulizi wokusasa kwa Kristo, olwokujilotyo nanyawendyo omuntu awatanise no obokoma obolaijakubhao."
255873026,1PE,5,2,"Be shepherds of God's flock that is under your care, serving as overseers—not because you must, but because you are willing, as God would have you serve—not for shameful profit but eagerly.","Olwokujilotyo nimbhatagiriza mgendelele kujira omwoyo ogwo inyuu bagurusi, mlilinde elyo lkundi lya Katond eliyoomlinywe. Mlilinde tikujiloti olwokubha nikwolabha, chonka olwokubha bhibhebityo, bisananjane na ruhanga. Mlilebhelele ti kwa kwenda amaela agensoni, chonka omkwenda."
255873027,1PE,5,3,"Do not act as lords over those allotted to you. Instead, be examples to the flock.","Chonka mtekola bakulu aigulu ya abhantu abalaansi yo bulebelezi bwangu, chonka mubhe nkeliya embaga."
255873028,1PE,5,4,"Then when the Chief Shepherd is revealed, you will receive an unfading crown of glory.",Oliya omuhanuzi mkulu alasulululilwa nimja kwakila ebilunga bye bitakubasa kunaga echitinisa chayo.
255873029,1PE,5,5,"In the same way, you younger men, submit to the older men. All of you, clothe yourselves with humility and serve one another. ""For God is opposed to the proud, but he gives grace to the humble.""","Kandi neimwe abhasigazi abhato, mchwe bhughufu omlibha kulu bhanyu. Imwe mwena mchwe bhughufu nokuyamba ngana omlimwe, alwakubha Ruhanga nayanga abheine eikulu, chnka nabhaeleza emigisha abhokuchwa bhughufu."
255873030,1PE,5,6,Therefore humble yourselves under God's mighty hand so that he may exalt you in due time.,"Alwecho mchwe bhughufu, ahangi yomkono gwa Ruhanga ogwamanni gubhase kubheinamula ombwile bhwagwo."
255873031,1PE,5,7,Cast all your anxiety on him because he cares for you.,"Mumwegekelele enaku zanyuzona, alwokubha nathafao."
255873032,1PE,5,8,"Be sober, be watchful. Your adversary the devil is walking around like a roaring lion, looking for someone to devour.","Mugume nimwebhalila, kandi nimulebha, Manya omwinazi ninkentare elikuhinda nebhasotera, nelonda omuntu emutagure. Mwemerere mwelinzile ensongaze, mubhe mulineamani omuimani yanyu."
255873033,1PE,5,9,Stand against him. Be strong in your faith. You know that your brotherhood in the world is enduring the same sufferings.,Olwo nimumanya abhanyaruganda abhaliomwihanga omkulabila omukusasa nkonkwo.
255873034,1PE,5,10,"After you suffer for a little while, the God of all grace, who called you to his eternal glory in Christ, will perfect you, confirm you, strengthen you, and establish you.","Kuluga omkusasa ombwile bhughufu, Ruhanga owemigisha yona, ayabhesile omchilinisa cheilaneila omuli Kristo, najakubhagobheseleza, najakubhagumisiliza nokubhonge laamani."
255873035,1PE,5,11,To him be the dominion forever and ever. Amen.,Obhukama bhubhenawenene eilaneila. Amina.
255873036,1PE,5,12,"I regard Silvanus as a faithful brother, and I have written to you briefly through him. I am exhorting you and I am testifying to you that what I have written is the true grace of God. Stand in it.","Nimwikilize silwano nko munyaruganda omwesigwa, kandi naandikila imwe ombighufu kulabhila omliwenene. Nimbhaha misiliza no kujulila ngu echinaandikile nomugisha ogwa mazima gwa Ruhanga. Mwemelele omuliwe."
255873037,1PE,5,13,"The woman who is in Babylon, who is chosen together with you, greets you. Also Mark, my son, greets you.","Abhayesigile abhali Baberi, abhalonzilwe neimwe, nibhabhalaisa na Marko omwanawange nabhakeisa."
255873038,1PE,5,14,Greet one another with a kiss of love. May peace be to you all who are in Christ.,Mkeisangane buryomo omukunyegerangana omlirukundo nemilembe ebheneimwe abhari omunda ya Kristo.
230690817,1TI,1,1,"Paul, an apostle of Christ Jesus according to the commandment of God our Savior and Christ Jesus our hope,","Paulo, Entumwa ya Yesu Kristo, ahamku gwa Mungu mlokozi waitu amo na Kristo Yesu, omsubhizo gwaitu."
230690818,1TI,1,2,"to Timothy, a true son in the faith: Grace, mercy, and peace from God the Father and Christ Jesus our Lord.","Aha, Timothio omwana wange aha mwesigo. Abhubhasa, bhubhe ahakwawe, nubhuganyizi nemilembe, elikulunga ahali Mungu Tata nali Kristo Yesu Mkama waitu."
230690819,1TI,1,3,"As I urged you to do when I was leaving for Macedonia, remain in Ephesus so that you can command certain people not to teach a different doctrine.","Nkukunakulagilile wikale Efeso, olunabhile ningenda kuja Makedonia, kubha obhase kubhatanga abandi bhategesa emwegeso endijo."
230690820,1TI,1,4,"Neither should they pay attention to stories and endless genealogies. These promote arguments rather than the plan of God, which is by faith.",Nangu mtahulila emigani endijo ezitane enzindo. Ezili kuleta amaswali agataine bhusobhola bya Mungu obhutaine mwezigo; mbwenu okole otyo.
