file_name,chapter,verse_number,verse_text,error
41.usfm,,,v 13 cheliluwu wena anayi jehi kangelu kamwata hikakumwekana kuji yosefu mulota ninji nyamukaku wutwali iwu mwana wanyanya nivwali yinji wutemukili kuejipitu wakashakami kwenoku kufumaka chinga nakulezhi mulonga helodi wakakengakenga iwu mwana wanyanya ninji amukisangani,332.31317
67.usfm,,,v 20 jamuchitanu jiyila jamuchitanu nachimu jichinana jamuchitanu nachiyeji jawunsela wutokoloka jamuchitanu nachisatu jamafu anyitonju jamuchitanu nachiwana jawunsela jamwikumi jamatahu amunyenvu jamwikumi nachimu 11 jawuzeeli wiyila jamwikumi nachiyeji 12 jawusombu,327.10385
67.usfm,,,v 20 owu kanyama hiyakumukwatila hamu nikaplofwetu wakutwamba owu wakongelanga yinzhikizhilu kumesu akanyama yajimbilangayi nachu antu afunjiluwu mufunja wanowu kanyama ajifukwilanga kunkishi yinji mwayeji wawu hiyakuyumbila amomi mwizhiya jabutukanga nakesi kanzazhi lu niakwanzhita yinji,323.9931
44.usfm,,,v 24 jichi hiyakujila wumu namukwawu nawu bayi tuwutabulaku tujitonjeli nachinzhikizhilu chakusakula nachu tumoni muntu wukuwutambula kulonja nyikanja yazhila yilumbuluki yasonekeluwu nawu yuma yami yakuvwala anajanzhangeni mukachi kawu mupila wami hiyakusakula nachinzhikizhilu chakusakula nachu jihu hafumini mashijika kwila yumiyi,323.37292
45.usfm,,,v 15 hiyakubijika nawu enu akwetu iyi yuma yimukwila yanka etu nawa tuyantu twatiyang’a mumwatiyang’enu tunayileteli nsang’u yayiwahi yakwila netu muleki yumiyi yamukunkulwayi mubalumuki munyichima mutali kuji nzambi wamumi waleng’eli iwulu niiseki nikalung’alwizhi niyezhima yekalamu,317.59323
67.usfm,,,v 6 hinukumona mukachi ketanja nawamomi awana nimukachi kawakulumpi munemani mwana kamukoku wuji neyi anamuzhahi jehi wukweti nsengu zhitanu nazhiyeji nimesu atanu nayeji jiyi spilitu wanzambi mutanu namuyeji anatemeshuwu mwahita iseki jezhima,314.91156
67.usfm,,,v 10 nitiya niizu jatiyakana mwiwulu ninji ichi jinu wamwinu ningovu nichiyuulu chanzambi yetu chinenzi jehi niwanta waklistu winji mulonga mukwakuyinka anakwetu nyilonga anamunatili jehi heseki yowu wayinkanga nyilonga kumesu anzambi yetu nimwaana niwufuku,305.68964
67.usfm,,,v 12 kangelu wamuchiwana hakwimba nichibalu chamuchisatu chetangwa acheta nikucheta nichibalu chamuchisatu chakakwezhi nichibalu chamuchisatu chatutumbwa kulonja chibalu chawu chamuchisatu chibalumuki kwiyila nimwaana wubuli kumwekana chibalu chawu chamuchisatu niwufuku chochimu,305.10577
45.usfm,,,v 20 heloji hakutiya kutama nankashi nawakwatila nasijoni wena hiyakuya kuji yena mukanka asambila jehi kukwata wubwambu nabalasatu yowu wahembang’a itala jawanta hiyakulemba nawu ashakami chachiwahi chakaji kumona nzhita mulong’a itung’a jawu jatambwilang’a kujya kwitung’a jamwanta,299.84802
44.usfm,,,v 17 hakumwihula kamuchisatu ninji eyi shimona mwana kayowanu wankunja petulu hakutiya chikela chanamwihuliyi mwanta ipampa jamuchisatu ninji wankunja hakumwila ninji mwanta eyi weluka yuma yezhima eyi weluka chinakukunja yesu hakumwila ninji jiishanga anyikoku zhami,298.0696
67.usfm,,,v 14 hela chochu kuji yuma yantesha yinakumoni nachu namulonga mulonga wuji nawakwenu achengi kwenoku etezhanga maana ayilezheluwu kuji balami walezheli balaki mwakutila anyana kaisalela muhetu akajyi yuma yanapeshuwu nachu ankishi akeli niwuzhila,297.43414
67.usfm,,,v 8 chanatambuliyi mukanjowu awa amomi awana ninawa akulumpi makumi ayeji nawana 24 hiyakujinata chamesu heseki kunyenju yamwana kamukoku wezhima wawu akweti tujaja niyenga yawulu yakunama yenzala insensi yowu kulombela kwawakwakuzhila,295.4922
67.usfm,,,v 17 yowu wukweti matu atiyi mwakuhoshayi spilitu nayipompelu yowu wukwimika mushinju nakamwinkahu manina ajingi akusweka nakamwinka niilola jitooka heloloju asonekahu izhina jajiha jabula kwilukawu antu chinga yowu muntu wukujitambula,295.4068
45.usfm,,,v 12 mulong’a mwenomu mwawong’akana mwabulili kuwaha kuchelukilamu tukwezhi twamashika jichi amavulu hiyakwila nawu tufumi kwenakunu muwatu tuyi tukabili kushika kufwenisi tuchelukili kwenoku fwenisi himukala wakuchikumu chakukeleta kwatala iku kukabeta iku kumusela iku nawa kukabeta kakwawu kwekala kwawong’akana,294.51776
59.usfm,,,v 27 hakweti mujimu wakulambula hefuku hefuku neyi awa atuplistu amaneni acheng’uku wena asambililang’a kuketula yimuna yahanshiji zhawu awenawu nkumininaku niyawantu amakwawu nawa yesu welili mwenimu kamu hohu hajilambwiliyi yomweni ekali mulambu,293.62134
45.usfm,,,v 17 chimunahiti mafuku asatu pawulu hakutambika akulumpi zhawayujeya chanapompuwu hamu hakuyilezha ninji enu akwetu amayala ami hinakong’i chuma chakutamisha akwetu ayujeya hela yaaku yawankakulula zhetuku hela chochu ankwatili kuyelusalema nakunlubula kuji aloma wena hiyakung’usha mukaleya,292.5177
44.usfm,,,v 19 neyi enu mwajingi ampata yamunu mwishina akwampata yamunu mwishina aji kukenga antu awu enu himuji ampata yamunu mwishinaku ilanga ami nayitonjeli mukachi kawantu ampata yamunu mwishina jihu hanafumi kuyihela kuji antu ampata yamunu mwishina,291.95575
43.usfm,,,v 31 hela mwantanyi wukwila neyi wukukenga kuya nakulwa nzhita namwanta mukwawu wukubula kusambila kushakama nakutongozhoka ninji ami niji namakombakazhi ikumi 10000 hohu nukutwesha kuya nakumonangana namwantowu wuji nakwinza namakombakazhi makumi ayeji 20000 kwaamu tahinji,291.90594
67.usfm,,,v 10 hinukujinata chamesu heseki kunyenju yinji nami nijifukuli kuji yena hakungila ninji nehi lekaku ami nimukwenu njungu neyi ninjungu hamu nawanakwetu ashimunanga yesu jifukuli kuji nzambi mulonga kushimuna kwashimunangawu yesu hispilitu yawuplofwetu,291.46
67.usfm,,,v 21 oyu yenzelu ikumi nayiyeji 12 himpelola ikumi nazhiyeji 12 chenzelu mpelola yimu chenzelu mpelola yimu yenzelu yezhima ikumi nayiyeji 12 chochimu mukwakwa wanoyu nganja hiwulu wakoseka wamwekana nikwishinaji too,291.268
67.usfm,,,v 13 nila nikumona nikutiya mbuulu wumu hakutuuka hakachi kaluzwizu hakuhosha nezu jatiyakana ninji ihungu ihungu ihungu mahungu akamonawu awa ekala hamaseki nanoku kuvuma kwakavuma mpùnga zhikwawu zhawangelu asatu anashaluhu,290.36575
41.usfm,,,v 17 hikuji muntu wukuloinga vinyu yayiha mumapakumuna ayitembi yayikuluku neyi wukwila ochu mapakumuna ayitembi akubusika vinyu yikumwaŋala niipakumuna dachitembi jikukisika vinyu yayiha ayilonganga mwipakumuna jajiha jichi yezhima yikwikala yayiwenyi,289.54144
42.usfm,,,v 25 yesu chanamoniyi izaza ya wantu hiji kupompa na kwinza lufuchi hakumutukola owu sipilitu watama nakumulezha niji eyi sipilitu watama nakumulezha niji yawuchizhika matwi hakumukajikizha niji fukaku muji iwu insongwalume nawa baji wakengili muji ena nawa chengiku,287.38092
67.usfm,,,v 12 yowu wukwimika mushinju nakamubalumuna kwikala chishimi chamutembeli yanzambi yami hamba kejikamu chenguku nakasoneka haji yena izhina janzambi yami niizhina janganja yanzambi yami yowu yelusalema yayiha yakasuluka mwiwulu nakufuma kuji nzambi yami niizhina jami jajiha,287.37448
41.usfm,,,v 20 yena hakuyila ninji mulonga wowu wakukuhwelela kwenu kwantesha mulonga nukuyilezha chalala nami neyi mukweti kukuhwelela kwakweseka nakambutu kanyanya mwaji kuyila mpidi iyi nenu tutulukaku kunu wuyi kuna yaji kututuluka kwosi chuma chimwadi kukaŋanyaku,284.66467
67.usfm,,,v 22 kuvuma kwatujaja niyisanzhi nimahululu nimpùnga hikwamba katiyakana nawa chengi mujeyi hela ifuku jimuku mujeyi himwamba kamwekana nawa chengi mukwawukalawenu hiwukalawenuku hela mushinju wakutwa mwiyanja hiwamba katiyakana nawa chengi mujeyi hela ifuku jimuku,281.46234
67.usfm,,,v 8 nami nitali hinukumona kawalu katookoloka mukwakwenjelahu wukweti izhina jinji jiyi kufwa nikalunga kamulonjela munyima hiyakuyinka wanta wakuzhaha chibalu chamuchiwana champata yahanu hamaseki azhahi nampoku yakabali nanzala nayipupu nawanyama ayisuma amwisanga,281.44284
67.usfm,,,v 20 nsangu yakuzhinja yatutumbwa tutanu natuyeji túwunamoni muchikasa chami chachijiilu niyamawimenu amanongu awulu atanu nayeji tutumbwa tutanu natuyeji hiyangelu ayipompelu yitanu nayiyeji nimawimenu amanongu atanu nayeji hiyipompelu yitanu nayiyeji,280.79938
67.usfm,,,v 13 yuma yezhima yalengeluwu yekala mwiwulu nihamaseki nimwishina jamaseki nihakalungalwizhi niyuma yezhima yijumu hinukuyitiya nakwila nawu ninkisu nimpuhu nilubanzhi lwakulema niwanta yiikali yawáshakama hetanja jawanta niyamwana kamukoku hayanyaka nanyaka,279.9069
67.usfm,,,v 9 hikukwinza kujami kangelu wumu wahaji awa angelu atanu nayeji ajingi nayenga yakunama yitanu nayiyeji yenzala yipupu yakukuminina yitanu nayiyeji hakuhosha nanami ninji inzanga kunu nikulezhi kankanga ingojamwana kamukoku,278.2371
41.usfm,,,v 15 mulonga antu awa michima yawu anayisupishi namatu awu anazhiki nimensu awu anazhima akenja kumona namensu awu akenja katiya namatelu awu akenja kashimuna mumichima yawu kulonda akabalumuki chengi nakayuki,275.26862
44.usfm,,,v 44 enu tata yenu jiyabolu mwakenganga kwila mwafwilangayi tata yenu yena wajingi mbanzhi kufumisha kutachi yena hemananga muwalalaku mulonga muji yena himwekala walalaku chahoshangayi yakutwamba wahoshanga yinji yomweni yena hintwambi hitata yachu,273.87485
67.usfm,,,v 13 ninji neluki kuwashakama kwokwekala itanja jawanta wasatana ilanga eyi wakakela izhina jami mbe kujikala kukuhwelela kuwankuhwelela nehi hela mumafuku ajingiyi chinsahu chami antipasi muntu wami washinshika azhahiluwu mukachi kenu kwashakamayi satana,272.9745
67.usfm,,,v 18 tiya maana inukukulezha nami lanjaku kujami wulu wakoseka nakesi wikali mukwakuheta nimahina atooka wuvwali kulonja wuvu weyi wubuli kumwekana wubuli kutiya nsonyi lanjaku niyihemba wukwiti kumesu wumoni nawa,271.0478
45.usfm,,,v 3 hakuhosha ninji ami nikayujeya navwalikilili kutalusa musilisiya ilang’a najizilili mung’anja yinu kunyenju yagamaleli amfumbilang’a mwalong’ela nshimbi yawankakulula zhetu chikupu najing’i nakumukalakela nzambi nang’ovu neyena kumuchima neyi chimuji nakwila wezhima wenu lelu,270.6702
43.usfm,,,v 44 hakushetumukila kwajingi owu mumbanja hakumwila shimona ninji wunamoni iwu mumbanja ami nengili mwitala jeyi eyi kunyinka menzhi akunwelesha kunyenju yami nehi hakwila iwu mumbanja naweleshi majatilu ami namajilu inji nayikomboli nansuki zhinji,270.57227
41.usfm,,,v 16 chimukuzhinga nakuleka kujya bayi mwikala ajiwomba kumensu neyi amfwikizhiku mulonga wena atamishanga kumensu awu kulonda ayimoni kuji antu nawu anazhingi nakuleki kujya nukuyilezha chalala nami anatambuli jehi wuloku wawu,269.5419
55.usfm,,,v 16 chalala kwaamu chizhinjilu chakwakama nzambi chaswezha kukunama nankashi yena nzambi wamwekeni mumuzhimba amuying’ishili muji spilitu amumweni kuji ang’elu amushimwini munyunza amukuhweleleli mumpata yamunu mwishina amutambwili mwiwulu mulubanzhi lwakulema,269.387
67.usfm,,,v 2 mukachi kamukwakwa wayu niishinaji niishinaji jakalonga haji mutonju wawumi wasonganga nyichiji yanyikabu ikumi nayiyeji 12 wasonganga nyikabu yinji hakakwezhi hakakwezhi mafu anowu mutonju akuuka nachu nyunza,267.25156
52.usfm,,,v 23 chochenochu neyi mukushakama mukwitiya kwakukuhwelela nakushimata nakukakela mbe nakubula kufuma mukuchingezha kwekala munsangu yayiwahi yimwatiyili yanashimunuwu mwahita kulenga kwezhima kwekala mwishina jewulu jichi ankunzhikili ami pawulu kwikala mukwakukalakela nsangu yeniyi,267.24335
59.usfm,,,v 26 neyi jimu mutenowu wakaba jehi kakavulu kufumisha haaliluwu chikuku champata yamunu mwishina ilang’a katataka anamumwekeshi kamu hohu kunu kunsa yanyaka kulonja afumishi nshiji nakujilambula yomweni neyi chimuna chakuketula,265.32922
67.usfm,,,v 15 kangelu mukwawu hakwijika mutembeli nakubijika nezu jatiyakana hakubijika owu washakama hevu ninji shaku chikwakwa cheyi wumuni mulonga mpinzhi yakumuna yinashiki jehi mulonga yuma yaheseki yakumunawu yaswezha jehi kuha,265.01
41.usfm,,,v 28 yesu hakuyila ninji nukuyilezha chalala nami hakulenga kwakwiha chakashakamayi mwana kamuntu hetanda jawanta jalubanji lwakulema kwinji enu nawa munanlondami mwakashakama hamatanda awanta ikumi nayeji 12 nakusompesha nyunza yaisarela ikumi nayiyeji 12,264.91266
63.usfm,,,v 13 enu atata zhawantu niji nakuyisonekela nanichi chimwamwiluka yena wekala kwoku kufumisha kutachi enu anyikwenzi niji nakuyisonekela nanichi chimunamwimiki jehi mukwakutama mushinju enu anyana anyanya nayisonekeli nanichi chimwamwiluka tata,264.84457
67.usfm,,,v 7 watachi hakwimba himukulonjela nvula yamalola nikesi kakubomba namashi hiyakuyinatila hamaseki chibalu chamuchisatu chahamaseki hichikusukuma bwii nichibalu chanyitonju chamuchisatu hichikusukuma bwii nimatahu amunyenvu ezhima asukuma nibwii,264.77814
41.usfm,,,v 21 oyu yihungu yiwakamona eyi kolazini oyu yihungu yiwakamona  betiseda neyi yihayamisha yineliki jehi mutila na musodoni yelikili muji eyi mutenowu abalumukili munyichima yeyi nakovwahila yikelayi nikujisukwila mawuti,264.18332
44.usfm,,,v 1 henohu chawizha chachipanjakenu chichiji kanja chitachiki yesu welukili ninji mpinzhi yami yakufuma mumpata yamunu mwishina niyi kuji tata yinashiki jehi chakengeliyi antu inji ajingi mumpata yamunu mwishina wayikengeli hachikupu njoo nikunsa,262.1132
45.usfm,,,v 46 apawulu nabalanaba hiyakuhosha chakaji woma nawu chinawahi chitunasambili kushimuna izu janzambi kujenu ayujeya hakwinzichi chimunayishinzhikili jehi kwakulehi nanenu munajifuukuli enu aweni nenu himunateli kwenu wumi wahayanyakaku talenu etu kwetu hitukubalumukila kuji azhentili,261.20013
42.usfm,,,v 35 yashakama ni kushakama yatambika ni ikumi nayeji12 hamu yotacika niku hosha kuji onsu wawu niye muntu nakukenga kwikala wa kusambila chinga yokala wakukumininaku haji akwawu onsu na kwikala igaamba yawakwawu onsu,261.07428
47.usfm,,,v 6 hakwinza kujetu kuji nzambi wumu hohu jiyi tata kuji yena jiku kwafumang’a yuma yezhima jiku twahanjilang’a kuji nimwanta wumu hohu jiyi yesu klistu muji yena jimu mwekala yuma yezhima jimu twahanjilang’a nawa,258.64194
48.usfm,,,v 14 tiyenu yami nukwinzowu kujenu kapampa kamuchisatu ami hinakeng’i kuyijiila yuma yenuku nakeng’a enu antu aweni hinakeng’a yuma yenuku anyana hijiwu atezhi kuyiswekela anvwali zhawuku ching’a anvwali jiwu aji kuswekela anyana,258.47562
60.usfm,,,v 12 enu anakwami chuma chaswezha kulema yowu kubula kusanyika hela iwulu hela iseki hela yuma yacheng’i kwitezha kwenu ching’a kwikala yowu eng’a nikukanisha kwenu ching’a kwikala yowu nehi kulonja abuli kuyisompesha,257.7296
67.usfm,,,v 9 hiyakwimba kamina kakaha nawu wunateli kutambula mukanja nakulamona yilamiki yawu mulonga akuzhahili wunamukuulili nzambi antu akunyichiji yezhima akumajimi ezhima akumatunga ezhima akunyunza yezhima namashi eyi,257.66547
63.usfm,,,v 16 neyi muntu wukumona manakwinji naputoli nshiji yakaji kushikizha nikukufwa amulombi nzambi yena wukumwinka wumi wayenowu naputoli chakaji kushikizha nikukufwa kuji nshiji yashikang’a nikukufwa hijiyi yinateni nami ayilombeleluku,257.147
45.usfm,,,v 22 jichi apostolu nawakulumpi hamu nachipompelu chezhima hiyakutong’ozhoka nawu chachiwahi kutonja mukachi ketu amayala tuyitemeshi kuantiyoki napawulu nabalanaba hiyakutonja yuja atumbiluwu izhina jikwawu jabalasaba nisilasi ajing’i amayala alema mukachi kawanakwawu,256.88452
61.usfm,,,v 11 muntu wukuhosha ahoshi neyi nzambi jiyi wuji nakuhosha muntu wukukalakala akalakali nang’ovu yanamwinkuwu kuji nzambi kulonja muyuma yezhima nzambi amulemeshi muji yesu klistu jiyi wukweti lubanzhi lwakulema niwanta hayanyaka nanyaka amena,256.32068
62.usfm,,,v 1 ilang’a mukachi kawantu mwanyamukili niatuplofwetu akutwamba nimukachi kenu nawa mwakekala antang’ishi akutwamba akaletelamu munzhila yakuzhinja kutang’isha kwawu kwaluwa kwakukisang’ana kwitiya kwakukuhwelela hiyakujikala nimwanta wayilanjili nakujikokela kuzhilumuka kwaswayi,255.57436
67.usfm,,,v 1 hinukwimana hawusekulula wakukalungalwizhi hinukumona kanyama hakufuma mukalungalwizhi wukweti nsengu ikumi ninyitu yitanu nayiyeji kunsengu zhinji kuji yibangula ikumi kunyitu yinji kuji mazhina akutuka nachu nzambi,254.80252
46.usfm,,,v 24 inji neyi eyi akukunkwili kumutondu wamu oliva wameneni mumpata akunungili mumutondu wamu  oliva wakujima wabula kwikala chisemwa cheyi inji mitayi yambala yamu oliva wakujima akabuli kuyinunga chengi mumitondu wawu tahinji,254.47531
67.usfm,,,v 10 muntu wukukenga kutwala akwawu muwujungu niyena nawa wakaya muwujungu muntu wukukenga kuzhaha akwawu nampoku yakabali niyena nawa akamuzhaha nampoku yakabali kweniku jiku kuji kutatakena nikukuhwelela kwawakwakuzhila,254.02328
45.usfm,,,v 25 helili yowanu hakuya nakumanisha mafuku inji hakuyila antu ninji enu munatong’ozhoki nenu yaminyi ami hiniklistuku tiyenu munyima yami imu muji nakwinza muntu ami hinatelela hela tuhu kusubula nkwabilu zhakunyenju yinjuku,253.84418
67.usfm,,,v 1 nami nitali hinukumona mwana kamukoku nemani hampiji yaziyona wuji nankulakazhi yamakombakazhi namakombakazhi makumi awana nawana 144000 akweti izhina jinji niizhina jatata yinji akusoneka hamahamawu,253.84343
67.usfm,,,v 3 hiyakwimbila kamina kakaha kumesu etanja nikumesu awamomi awana niawakulumpi hikwajingi muntu watwesheli kujiza kaminokuku chinga wowu nkulakazhi yamakombakazhi namakombakazhi makumi awana nawana 144000 anakuuluwu muji antu ahamaseki,253.59355
41.usfm,,,v 20 chajinga nakutongozhokayi yumiyi kangelu ka mwata hakumwekana kuji yena mukulota ninji yosefu mwana kadavidi bayi wutiya woma wakutambula ngojeyi maliyaku mulonga iji ivumu janabaabiyi jaku sipilitu wazhila,253.48169
67.usfm,,,v 1 chiyakumini yumiyi nami nitali hinukumona chenzelu chinenzuluki mwiwulu hinukutiya izu jinasambilili kutiya jajingi neyi mpùnga hijikuhosha nanami ninji inzanga munu mwiwulu nikumwekesheli yuma yamba kenza kukukuminina,253.23271
67.usfm,,,v 10 bayi wutiyanga woma wayuma yiwukukenga kukaba nachuku tiya jiyabolu kenga ashi akwenu amakwawu mukaleya kulonja ayeseki mwakamona yihungu mafuku ikumi ikalaku washinshika njoo nikukufwa nakakwinka chibaaba chawumi,252.9786
59.usfm,,,v 7 nakukuhwelela nowa chamusong’amishiluwu kuji nzambi hansang’u yayuma yachijing’i kanja yimwekani chamwakaminiyi nzambi hakulong’esha watu wakwamwina nachu akwetala jinji hakuhisha nachu antu ampata yamunu mwishina hakwikala nswana yakulong’a kwakufuma kukukuhwelela,252.86786
67.usfm,,,v 3 kangelu wachengi hakwinza nakwimana kukamenga kainsensi nasenji chenga chawulu chakusenjela insensi hiyakumwinka insensi kulonja abombi nakulombela kwawakwakuzhila ezhima hakamenga kawulu kaji kumesu etanja jawanta,252.02808
43.usfm,,,v 53 tata yamuntu wakajambula namwaninji weyala mwana weyala wakajambula natata yinji mama yamuntu wakajambula namwaninji wamumbanja mwana wamumbanja wakajambula namama yinji mukuwamuntu wakajambula namukuwinji wamumbanja mukuwamumbanja wakajambula namukuwinji,251.65396
47.usfm,,,v 11 ilang’a katataka niji nakuyisonekela nami neyi muntu anatenuwu nawu himanakwenu wukwikala chivumbi hela mukwalwisu hela mukwakupesha hela mukwakutukana hela mukwakusheta hela mukwanyilami nami muntu wuji ochu bayi mujibomba ninjuku hela kujya ninji chinzhila,251.39847
67.usfm,,,v 12 yiji nampwembu yeneni yayilehi kumpwembu kuji yenzelu ikumi nayiyeji 12 kuyenzelu oyu kuji angelu ikumi nayeji 12 hayenzelu oyu asonekahu mazhina anyichiji yawanyana kaisalela ikumi nayiyeji 12,250.24545
67.usfm,,,v 2 hakubijika nezu jatiyakana nankashi ninji babiloni muneni nahumoki nahumoki nabalumuki jehi kwikala muwushakaminu wawanjemoni mwakujikangila aspilitu azonja ezhima mwakujikangila nawa atuja azonja ezhima atiyangawu antu kutama,250.21933
63.usfm,,,v 14 enu atata zhawantu nayisonekeli nanichi chimwamwiluka yena wekala kwoku kufumisha kutachi enu anyikwenzi nayisonekeli nanichi chimukweti ng’ovu niizu janzambi jashakama mujenu nichimunamwimiki owu watama mushinju,250.00787
45.usfm,,,v 24 festusi hakuhosha ninji eyi mwanta aglipa ninenu amayala ezhima tuji nenu munu iwu iyala munamoni iwu anamuholokeli kujami kuji ayujeya ezhima kuyelusalema nikunu nawa hiyakumbijika nawu hatela kuhanja nawa cheng’uku,249.71231
41.usfm,,,v 12 12 mulonga kuji afwa mwitala chakuvwalika nachu mumavumu awamama jawu kudi afwa mwitala chakuyila kuji antu kuji nawa anajilishi awenawu kwikala neyi afwa mwitala hansangu yawanta wamwiwulu yowu natweshi kutambula izwiji atambuli,249.0249
67.usfm,,,v 9 owu chanzangombi muneni hiyakumunatila heseki yowu kapela mukulu atenangawu nawu jiyabolu jiyi satana wajimbanga antu ampata yamunu mwishina ezhima yena hiyakumunatila hamaseki niangelu zhinji hiyakuyinatila hamu nayena,248.45496
41.usfm,,,v 23 oyu yihuŋu yimwakamonenu ansoneki nawafwarisewu amfwikiji mwamwinkanga nzambi mulambu wandúngu wamwikumi niwanyitondu yamavumba amawahi niwakasakwa munaleki kwila yuma yanshimbi yalema kwokusompa niluwi nikukuhwelela neyi mwelaŋa yeniyi niyikwawu himwaji kukanganya kuyilaku,247.56433
